short_name,long_name,sofifa_id,age,dob,nationality,height_cm,body_type,weight_kg,club,player_url,overall_potential,value_eur,wage_eur,work_rate,team_position,team_jersey_number,shooting,passing,dribbling,defending,player_traits,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,power_shot_power,power_strength,power_long_shots,defending_standing_tackle,defending_sliding_tackle
A. Bifulco,Alfredo Bifulco,235690,22,1/19/97,Italy,173,Lean,63,Napoli,https://sofifa.com/player/235690/alfredo-bifulco/20/159586,61,400000,8000,Medium/Medium,RES,45,45,61,62,38,Not Provided,66,62,62,61,60,34,37,42,48
A. Binous,Aziz Salah Binous,245260,18,8/4/00,Switzerland,192,Lean,84,FC Luzern,https://sofifa.com/player/245260/aziz-binous/20/159586,54,140000,1000,Medium/Low,SUB,73,49,39,51,23,Not Provided,41,52,32,50,47,67,48,20,15
A. Bittroff,Alexander Bittroff,188872,30,9/19/88,Germany,186,Lean,80,KFC Uerdingen 05,https://sofifa.com/player/188872/alexander-bittroff/20/159586,64,350000,2000,Medium/Medium,SUB,15,42,55,63,60,Not Provided,62,64,54,62,61,73,47,63,58
A. Bjarnason,Andri Rúnar Bjarnason,243529,28,11/12/90,Iceland,193,Normal,82,1. FC Kaiserslautern,https://sofifa.com/player/243529/andri-runar-bjarnason/20/159586,65,550000,2000,High/Low,SUB,19,64,49,63,28,Not Provided,59,61,37,64,65,78,60,18,19
A. Bjelland,Andreas Bjelland,183781,30,7/11/88,Denmark,188,Normal,85,FC København,https://sofifa.com/player/183781/andreas-bjelland/20/159586,74,4600000,17000,High/Medium,LCB,5,46,63,59,73,"Power Free-Kick, Leadership",70,55,73,67,57,84,51,74,70
A. Björnström,Axel Björnström,242658,23,9/10/95,Sweden,176,Lean,65,IK Sirius,https://sofifa.com/player/242658/axel-bjornstrom/20/159586,60,260000,1000,Medium/Medium,SUB,16,31,48,58,57,Not Provided,52,57,40,58,43,56,35,58,54
A. Blackman,Andre Blackman,193023,28,11/10/90,England,181,Normal,75,Southend United,https://sofifa.com/player/193023/andre-blackman/20/159586,60,180000,2000,High/Medium,SUB,39,46,53,59,57,Not Provided,56,59,54,57,58,68,54,58,56
A. Blake,Andre Blake,216939,28,11/21/90,Jamaica,193,Lean,79,Philadelphia Union,https://sofifa.com/player/216939/andre-blake/20/159586,76,7000000,7000,Medium/Medium,GK,18,0,0,0,0,Acrobatic Clearance,32,11,33,28,51,68,11,14,13
A. Blanco,Alfonso Blanco Antúnez,183743,31,7/31/87,Mexico,182,Normal,88,Pachuca,https://sofifa.com/player/183743/alfonso-blanco/20/159586,69,675000,8000,Medium/Medium,SUB,13,0,0,0,0,Not Provided,17,10,12,20,49,74,13,14,12
A. Blin,Alexis Blin,222982,22,9/16/96,France,184,Lean,78,Amiens SC,https://sofifa.com/player/222982/alexis-blin/20/159586,73,5000000,12000,Low/High,SUB,17,55,67,65,72,Not Provided,73,64,66,66,60,70,55,74,73
A. Blomqvist,Andreas Blomqvist,208316,27,5/5/92,Sweden,182,Lean,70,IFK Norrköping,https://sofifa.com/player/208316/andreas-blomqvist/20/159586,66,725000,3000,Low/Medium,SUB,23,65,69,64,48,Power Free-Kick,67,61,69,66,71,62,67,46,49
A. Blondell,Anthony Blondell,241874,25,5/17/94,Venezuela,185,Normal,77,CD Huachipato,https://sofifa.com/player/241874/anthony-blondell/20/159586,68,1200000,4000,High/Low,ST,9,68,52,63,33,Not Provided,55,63,43,67,72,80,65,25,21
A. Bobichon,Antonin Bobichon,225855,23,9/14/95,France,178,Normal,75,Nîmes Olympique,https://sofifa.com/player/225855/antonin-bobichon/20/159586,72,4200000,14000,High/Low,LCM,14,72,72,73,56,Argues with Officials,74,75,69,73,83,66,78,58,48
A. Bodart,Arnaud Bodart,237525,21,3/11/98,Belgium,184,Lean,75,Standard de Liège,https://sofifa.com/player/237525/arnaud-bodart/20/159586,66,775000,2000,Medium/Medium,GK,16,0,0,0,0,Not Provided,20,9,28,11,47,55,11,12,14
A. Bodzek,Adam Bodzek,177129,33,9/7/85,Poland,184,Normal,81,Fortuna Düsseldorf,https://sofifa.com/player/177129/adam-bodzek/20/159586,70,875000,15000,Low/High,SUB,13,54,61,58,70,Not Provided,68,57,65,59,66,78,59,74,70
A. Bogusz,Artur Bogusz,250966,26,4/18/93,Poland,181,Normal,74,LKS Lodz,https://sofifa.com/player/250966/artur-bogusz/20/159586,55,90000,1000,High/Medium,SUB,4,28,39,52,52,Not Provided,42,52,32,45,32,59,25,57,56
A. Bolger,Aaron Bolger,236495,19,2/2/00,Republic of Ireland,170,Normal,65,Cardiff City,https://sofifa.com/player/236495/aaron-bolger/20/159586,59,325000,3000,Medium/Medium,RES,43,42,57,63,52,Not Provided,64,62,62,62,48,41,39,58,48
A. Bolivar,Agustín Gabriel Bolívar,240362,23,1/9/96,Argentina,173,Normal,73,Gimnasia y Esgrima La Plata,https://sofifa.com/player/240362/agustin-bolivar/20/159586,60,325000,2000,Low/High,SUB,14,46,60,62,59,Not Provided,67,59,65,63,59,64,41,56,59
A. Boljevic,Aleksandar Boljevic,215480,23,12/12/95,Montenegro,184,Normal,77,Standard de Liège,https://sofifa.com/player/215480/aleksandar-boljevic/20/159586,70,2400000,9000,Medium/Medium,SUB,18,61,69,72,30,"Injury Free, Speed Dribbler (CPU AI Only), Crowd Favourite",68,73,72,70,63,63,60,23,22
A. Bongiovanni,Adrien Bongiovanni,235171,19,9/20/99,Belgium,170,Lean,60,KSV Cercle Brugge,https://sofifa.com/player/235171/adrien-bongiovanni/20/159586,66,1200000,3000,Medium/Medium,SUB,10,60,66,71,44,Not Provided,71,71,69,69,65,30,46,47,55
A. Boniotti,Alberto Boniotti,219720,24,3/23/95,Italy,179,Lean,72,Brescia,https://sofifa.com/player/219720/alberto-boniotti/20/159586,62,350000,2000,High/Medium,RES,40,40,55,60,61,Not Provided,55,58,51,58,49,59,41,63,63
A. Bonnet,Alexandre Bonnet,173040,32,10/17/86,France,173,Lean,65,Le Havre AC,https://sofifa.com/player/173040/alexandre-bonnet/20/159586,70,1400000,5000,Medium/Medium,LM,17,64,70,71,36,Avoids Using Weaker Foot,69,71,70,66,70,50,74,30,21
A. Bono,Alexander Bono,226786,25,4/25/94,United States,191,Normal,88,Toronto FC,https://sofifa.com/player/226786/alex-bono/20/159586,67,725000,2000,Medium/Medium,SUB,25,0,0,0,0,Acrobatic Clearance,25,18,35,20,50,73,15,14,19
A. Borkovic,Alexandar Borkovic,235995,20,6/11/99,Austria,184,Lean,74,FK Austria Wien,https://sofifa.com/player/235995/alexandar-borkovic/20/159586,63,575000,2000,Medium/Medium,RES,24,34,54,46,63,Power Free-Kick,65,38,59,49,45,71,28,65,63
A. Boroughbridge,Archie Boroughbridge,247562,34,1/31/85,England,194,Normal,87,Bury,https://sofifa.com/player/247562/archie-boroughbridge/20/159586,60,80000,1000,Low/Medium,SUB,5,30,40,39,58,Giant Throw-in,45,34,43,42,38,82,28,58,51
A. Boruc,Artur Boruc,105846,39,2/20/80,Poland,193,Normal,87,Bournemouth,https://sofifa.com/player/105846/artur-boruc/20/159586,75,675000,23000,Medium/Medium,GK,1,0,0,0,0,Flair,25,14,34,18,49,69,15,20,20
A. Bouchalakis,Andreas Bouchalakis,223922,26,4/5/93,Greece,188,Normal,84,Olympiacos CFP,https://sofifa.com/player/223922/andreas-bouchalakis/20/159586,72,3700000,1000,Medium/Medium,SUB,5,67,71,68,65,"Leadership, Argues with Officials",75,66,77,71,80,73,76,68,61
A. Bouhaddouz,Aziz Bouhaddouz,188305,32,3/30/87,Morocco,188,Normal,88,SV Sandhausen,https://sofifa.com/player/188305/aziz-bouhaddouz/20/159586,69,850000,4000,Medium/Medium,SUB,11,70,56,64,23,Not Provided,65,63,53,68,75,84,66,13,14
A. Bouzat,Agustín Bouzat,232255,25,3/28/94,Argentina,169,Normal,72,Vélez Sarsfield,https://sofifa.com/player/232255/agustin-bouzat/20/159586,74,7000000,15000,High/High,RW,10,63,67,77,57,Early Crosser,70,79,63,73,67,53,59,59,57
A. Boyle,Andrew Boyle,199010,28,3/7/91,Republic of Ireland,178,Normal,78,Dundalk,https://sofifa.com/player/199010/andy-boyle/20/159586,66,650000,1000,Medium/High,SUB,44,37,51,49,65,Not Provided,61,43,57,54,54,83,36,69,68
A. Bradley,Alex Bradley,239319,20,1/27/99,Finland,178,Lean,64,Lincoln City,https://sofifa.com/player/239319/alex-bradley/20/159586,56,200000,2000,High/Medium,SUB,15,48,51,62,50,Crowd Favourite,56,62,54,59,57,37,49,50,60
A. Brennan,Archie Brennan,248730,18,10/16/00,England,170,Lean,61,Cheltenham Town,https://sofifa.com/player/248730/archie-brennan/20/159586,54,140000,1000,High/Medium,SUB,18,47,49,57,46,Not Provided,54,56,56,54,53,54,46,47,45
A. Briançon,Anthony Briançon,223138,24,11/29/94,France,185,Stocky,79,Nîmes Olympique,https://sofifa.com/player/223138/anthony-briancon/20/159586,76,8500000,18000,Medium/High,RCB,23,48,60,55,75,"Diver, Leadership",75,45,69,66,68,81,63,76,71
A. Brignoli,Alberto Brignoli,210358,27,8/19/91,Italy,187,Lean,74,Empoli,https://sofifa.com/player/210358/alberto-brignoli/20/159586,73,3500000,4000,Medium/Medium,GK,12,0,0,0,0,"Flair, Acrobatic Clearance",36,12,42,23,56,42,11,21,20
A. Briseño,Antonio Briseño Vázquez,192114,25,2/5/94,Mexico,185,Normal,81,Guadalajara,https://sofifa.com/player/192114/antonio-briseno/20/159586,71,2800000,20000,Medium/Medium,CB,14,43,49,59,69,Long Passer (CPU AI Only),53,55,44,61,45,74,46,71,69
A. Brorsson,Arvid Brorsson,238703,20,5/8/99,Sweden,188,Lean,81,Örebro SK,https://sofifa.com/player/238703/arvid-brorsson/20/159586,62,425000,1000,Medium/Medium,LCB,4,20,39,42,61,Not Provided,45,36,48,45,28,77,22,62,59
A. Browne,Alan Browne,216464,24,4/15/95,Republic of Ireland,173,Normal,71,Preston North End,https://sofifa.com/player/216464/alan-browne/20/159586,74,7500000,22000,High/High,CAM,8,73,68,71,69,Not Provided,74,70,68,71,70,77,75,69,67
A. Bruce,Alex Bruce,169458,34,9/28/84,Northern Ireland,180,Normal,81,Kilmarnock,https://sofifa.com/player/169458/alex-bruce/20/159586,66,240000,2000,Low/Medium,SUB,4,30,42,52,65,Power Free-Kick,54,48,51,53,43,73,36,67,68
A. Bruno,Alessandro Bruno,203649,35,7/4/83,Italy,180,Normal,70,Pescara,https://sofifa.com/player/203649/alessandro-bruno/20/159586,65,230000,1000,Medium/High,SUB,5,48,62,62,62,Leadership,66,58,66,66,58,72,57,61,56
A. Brunst,Alexander Brunst-Zöllner,223925,23,7/7/95,Germany,195,Normal,88,1. FC Magdeburg,https://sofifa.com/player/223925/alexander-brunst/20/159586,66,675000,1000,Medium/Medium,GK,1,0,0,0,0,Not Provided,23,15,21,23,45,65,13,16,13
A. Bruus,Andreas Bruus,241269,20,1/16/99,Denmark,184,Normal,69,Brøndby IF,https://sofifa.com/player/241269/andreas-bruus/20/159586,54,150000,3000,High/Medium,RES,17,52,42,58,21,Not Provided,45,58,38,57,55,59,47,19,12
A. Budimbu,Arnold Budimbu,251444,24,2/20/95,Germany,178,Stocky,81,MSV Duisburg,https://sofifa.com/player/251444/arnold-budimbu/20/159586,61,325000,1000,Medium/Medium,RES,11,51,54,63,28,Not Provided,60,63,49,62,54,73,49,24,24
A. Budimir,Ante Budimir,188335,27,7/22/91,Croatia,190,Lean,75,RCD Mallorca,https://sofifa.com/player/188335/ante-budimir/20/159586,72,3300000,19000,Medium/High,ST,22,73,44,64,34,Not Provided,57,65,30,69,70,78,64,35,27
A. Buksa,Adam Buksa,224438,22,7/12/96,Poland,192,Lean,87,Pogon Szczecin,https://sofifa.com/player/224438/adam-buksa/20/159586,68,1200000,3000,Medium/Low,ST,18,66,56,65,30,Power Free-Kick,63,66,44,67,64,72,58,23,21
A. Bunjaku,Albert Bunjaku,144050,35,11/29/83,Kosovo,178,Normal,77,Viktoria Köln,https://sofifa.com/player/144050/albert-bunjaku/20/159586,65,250000,1000,Medium/Medium,ST,12,64,56,66,37,Not Provided,63,65,44,65,69,70,59,26,22
A. Buongiorno,Alessandro Buongiorno,243241,20,6/6/99,Italy,191,Lean,80,Torino,https://sofifa.com/player/243241/alessandro-buongiorno/20/159586,62,625000,5000,Medium/Medium,RES,35,43,52,54,62,Not Provided,56,51,47,60,60,70,47,62,62
A. Burca,Andrei Burca,248003,26,4/15/93,Romania,187,Normal,82,CFR Cluj,https://sofifa.com/player/248003/andrei-burca/20/159586,68,1000000,5000,Medium/Medium,SUB,3,23,43,50,67,Not Provided,66,43,47,59,31,68,22,68,65
A. Burlacu,Andrei Burlacu,248086,22,1/12/97,Romania,186,Normal,76,Chindia Târgoviste,https://sofifa.com/player/248086/andrei-burlacu/20/159586,63,550000,1000,Medium/Medium,SUB,36,62,59,63,26,Not Provided,61,63,57,64,64,66,59,25,18
A. Bussaglia,Andrea Bussaglia,244228,22,5/28/97,Italy,172,Normal,69,Cittadella,https://sofifa.com/player/244228/andrea-bussaglia/20/159586,64,725000,1000,Medium/Medium,SUB,28,58,60,69,42,Early Crosser,62,70,55,61,62,49,55,38,40
A. Bustamante,Antonio Bustamante,247029,22,6/20/97,United States,170,Normal,62,DC United,https://sofifa.com/player/247029/antonio-bustamante/20/159586,55,130000,1000,High/Medium,RES,26,54,52,59,40,Not Provided,59,58,55,55,69,39,50,39,42
A. Butler,Andy Butler,140442,35,11/4/83,England,183,Normal,83,Scunthorpe United,https://sofifa.com/player/140442/andy-butler/20/159586,65,160000,3000,Medium/High,LCB,6,35,45,44,64,"Diver, Long Passer (CPU AI Only), Giant Throw-in",51,35,48,52,48,77,25,65,64
A. Buxton,Adam Buxton,204302,27,5/12/92,England,185,Stocky,81,Morecambe,https://sofifa.com/player/204302/adam-buxton/20/159586,58,110000,2000,Medium/Medium,RB,2,37,54,50,58,Power Free-Kick,59,43,50,54,52,71,42,62,56
A. Buzbuchi,Alexandru Buzbuchi,222221,25,10/31/93,Romania,190,Normal,84,FC Viitorul,https://sofifa.com/player/222221/alexandru-buzbuchi/20/159586,62,280000,1000,Medium/Medium,RES,31,0,0,0,0,Not Provided,22,14,16,13,41,37,17,11,18
A. Buziuc,Alexandru Buziuc,251085,25,3/15/94,Romania,174,Normal,75,Academica Clinceni,https://sofifa.com/player/251085/alexandru-buziuc/20/159586,62,375000,1000,High/Medium,LAM,9,61,40,59,19,Not Provided,48,57,34,62,65,71,51,10,18
A. Bušuladžic,Azer Bušuladžic,221828,27,11/12/91,Bosnia Herzegovina,187,Lean,77,Arka Gdynia,https://sofifa.com/player/221828/azer-busuladzic/20/159586,66,675000,2000,Medium/High,LDM,22,59,61,64,61,Not Provided,65,62,65,64,62,78,59,57,56
A. Byrne,Alec Byrne,238219,20,6/21/99,Republic of Ireland,175,Lean,67,Cork City,https://sofifa.com/player/238219/alec-byrne/20/159586,51,70000,1000,Medium/Medium,SUB,16,37,48,52,47,Not Provided,54,47,52,52,54,47,33,49,48
A. Bærtelsen,Anders Bærtelsen,243347,19,5/9/00,Denmark,189,Normal,78,Aalborg BK,https://sofifa.com/player/243347/anders-baertelsen/20/159586,53,120000,1000,Medium/Medium,RES,34,25,35,38,51,Not Provided,46,26,40,45,36,64,19,53,49
A. Büyük,Adem Büyük,167753,31,8/30/87,Turkey,177,Stocky,78,Galatasaray SK,https://sofifa.com/player/167753/adem-buyuk/20/159586,73,3500000,45000,High/Medium,SUB,7,71,66,77,29,"Long Passer (CPU AI Only), Crowd Favourite",70,76,62,76,71,56,71,19,20
A. Caceres,Anthony Caceres,209886,26,9/29/92,Australia,173,Normal,67,Sydney FC,https://sofifa.com/player/209886/anthony-caceres/20/159586,63,450000,2000,Medium/Medium,SUB,17,59,61,63,58,Crowd Favourite,63,61,61,61,65,62,65,62,60
A. Caci,Anthony Caci,236636,22,7/1/97,France,184,Lean,70,RC Strasbourg Alsace,https://sofifa.com/player/236636/anthony-caci/20/159586,72,4900000,16000,Medium/Medium,SUB,19,48,65,67,72,Not Provided,71,67,67,65,58,73,34,74,72
A. Cadavid,Arled Cadavid Valencia,214471,28,3/29/91,Colombia,180,Lean,74,América de Cali,https://sofifa.com/player/214471/arled-cadavid/20/159586,63,325000,1000,Medium/Medium,RES,22,0,0,0,0,Not Provided,22,11,17,22,39,53,13,20,13
A. Cadavid,Andrés Cadavid,209738,33,12/28/85,Colombia,188,Stocky,87,Independiente Medellín,https://sofifa.com/player/209738/andres-cadavid/20/159586,70,850000,2000,Medium/High,LCB,6,39,48,43,68,Not Provided,61,42,53,44,63,91,35,70,64
A. Cairns,Alex Cairns,203215,26,1/4/93,England,183,Normal,72,Fleetwood Town,https://sofifa.com/player/203215/alex-cairns/20/159586,65,525000,2000,Medium/Medium,GK,1,0,0,0,0,Not Provided,15,12,11,13,44,39,13,11,11
A. Calabresi,Arturo Calabresi,229574,23,3/17/96,Italy,186,Lean,75,Bologna,https://sofifa.com/player/229574/arturo-calabresi/20/159586,72,3900000,17000,High/Medium,SUB,33,30,48,54,73,Not Provided,55,50,42,57,45,76,29,76,74
A. Calcan,Andreias Calcan,235313,25,4/9/94,Romania,172,Normal,74,FC Viitorul,https://sofifa.com/player/235313/andreias-calcan/20/159586,64,575000,3000,Medium/Medium,LW,30,57,61,70,36,Injury Free,64,72,59,65,66,61,49,43,39
A. Calello,Adrián Calello,206628,32,5/14/87,Argentina,178,Normal,71,Club Atlético Huracán,https://sofifa.com/player/206628/adrian-calello/20/159586,68,575000,6000,Low/High,CDM,5,42,60,63,67,Injury Prone,69,60,61,69,48,68,51,73,68
A. Calisir,André Calisir,198178,29,6/13/90,Armenia,180,Normal,74,IFK Göteborg,https://sofifa.com/player/198178/andre-calisir/20/159586,67,650000,2000,Medium/Medium,RCB,26,32,54,56,66,Not Provided,63,51,60,62,44,72,27,68,68
A. Callens,Alexander Martín Marquinho Callens Asín,211522,27,5/4/92,Peru,186,Normal,76,New York City FC,https://sofifa.com/player/211522/alexander-callens/20/159586,71,2600000,5000,Medium/Medium,SUB,6,33,49,51,69,Injury Prone,69,42,69,56,73,77,23,70,76
A. Calver,Aaron Calver,212535,23,1/12/96,Australia,186,Normal,76,Western United FC,https://sofifa.com/player/212535/aaron-calver/20/159586,64,550000,1000,Medium/Medium,RCB,2,26,49,51,62,Not Provided,59,49,45,53,33,78,20,61,57
A. Camara,Alioune Camara,245220,21,8/9/97,Senegal,195,Lean,84,KV Kortrijk,https://sofifa.com/player/245220/alioune-camara/20/159586,59,210000,2000,Medium/Medium,RES,25,26,39,42,56,Not Provided,49,33,45,48,38,73,25,63,61
A. Camargo,Alejandro Maximiliano Camargo,229201,30,6/12/89,Argentina,175,Normal,68,CD Universidad de Concepción,https://sofifa.com/player/229201/alejandro-camargo/20/159586,68,825000,2000,Medium/Medium,LCM,6,44,67,63,62,Not Provided,78,58,73,71,50,76,56,71,48
A. Camigliano,Agostino Camigliano,219721,24,7/11/94,Italy,188,Normal,82,Cittadella,https://sofifa.com/player/219721/agostino-camigliano/20/159586,64,550000,1000,Low/High,SUB,13,16,30,35,66,Not Provided,45,22,40,45,26,73,11,68,65
A. Campbell,Allan Campbell,233484,20,7/4/98,Scotland,175,Normal,74,Motherwell,https://sofifa.com/player/233484/allan-campbell/20/159586,69,1700000,3000,Medium/High,LCM,6,52,62,66,71,Not Provided,71,62,63,69,58,69,55,73,70
A. Campos,Angelo Campos,246653,19,3/30/00,Switzerland,178,Normal,77,FC St. Gallen,https://sofifa.com/player/246653/angelo-campos/20/159586,54,110000,2000,High/Medium,RES,52,50,37,54,20,Not Provided,39,52,32,51,51,61,45,19,15
A. Canbaz,Ahmet Canbaz,241051,21,4/27/98,Turkey,182,Normal,73,Trabzonspor,https://sofifa.com/player/241051/ahmet-canbaz/20/159586,62,550000,4000,Medium/Medium,SUB,38,62,59,65,23,"Selfish, Argues with Officials",58,65,52,62,70,59,65,17,26
A. Canchano,Andrés Canchano,248135,20,5/3/99,Colombia,168,Normal,70,Unión Magdalena,https://sofifa.com/player/248135/andres-canchano/20/159586,56,160000,1000,Medium/Medium,RES,32,38,50,53,50,Not Provided,54,49,49,55,41,58,36,56,56
A. Candela,Antonio Candela,252315,19,4/27/00,Italy,185,Lean,79,Trapani,https://sofifa.com/player/252315/antonio-candela/20/159586,63,725000,1000,Medium/Medium,SUB,13,47,54,63,59,Not Provided,52,64,51,61,49,69,40,61,60
A. Candreva,Antonio Candreva,173221,32,2/28/87,Italy,180,Normal,70,Inter,https://sofifa.com/player/173221/antonio-candreva/20/159586,79,10000000,65000,Medium/Medium,SUB,87,78,76,80,61,"Long Throw-in, Argues with Officials, Early Crosser",78,80,73,83,87,63,81,63,53
A. Canelo,Alexis Pedro Canelo,227591,27,2/3/92,Argentina,180,Stocky,83,Deportivo Toluca,https://sofifa.com/player/227591/alexis-canelo/20/159586,72,3600000,19000,High/Low,RS,25,72,62,72,27,Injury Free,67,73,58,72,78,71,68,21,21
A. Cannon,Andy Cannon,224361,23,3/14/96,England,176,Normal,74,Portsmouth,https://sofifa.com/player/224361/andy-cannon/20/159586,64,675000,3000,High/High,SUB,14,50,62,66,60,Not Provided,66,65,61,65,58,66,38,65,64
A. Capello,Alessandro Capello,224121,23,12/12/95,Italy,183,Lean,75,Venezia FC,https://sofifa.com/player/224121/alessandro-capello/20/159586,66,875000,1000,Medium/Low,RS,28,64,57,63,30,Not Provided,59,60,58,64,63,63,55,23,23
A. Capra,Andrei Capra,252491,17,10/13/01,Romania,173,Normal,76,Gaz Metan Medias,https://sofifa.com/player/252491/andrei-capra/20/159586,50,50000,1000,Low/High,RES,15,23,29,32,47,Not Provided,35,23,27,32,36,60,21,50,49
A. Caracciolo,Antonio Aldo Caracciolo,199174,29,6/30/90,Italy,185,Normal,83,US Cremonese,https://sofifa.com/player/199174/antonio-caracciolo/20/159586,70,1500000,3000,Medium/High,RCB,23,19,43,56,71,Long Passer (CPU AI Only),56,51,56,55,24,74,29,72,71
A. Carleton,Andrew Carleton,234525,19,6/22/00,United States,170,Normal,66,Atlanta United,https://sofifa.com/player/234525/andrew-carleton/20/159586,62,575000,1000,Medium/Medium,RES,30,60,60,70,35,Selfish,62,70,58,66,62,43,58,40,41
A. Carlone,Alessio Carlone,251238,23,1/20/96,Belgium,169,Normal,64,Politehnica Iasi,https://sofifa.com/player/251238/alessio-carlone/20/159586,57,140000,1000,Medium/Medium,RES,11,51,55,62,33,Not Provided,59,61,54,62,58,57,44,33,32
A. Carrillo,André Martín Carrillo Díaz,203299,28,6/14/91,Peru,181,Normal,78,Al Hilal,https://sofifa.com/player/203299/andre-carrillo/20/159586,78,10500000,43000,Medium/Medium,RM,19,74,72,83,34,"Selfish, Early Crosser",73,85,62,82,76,72,75,32,25
A. Carroll,Andy Carroll,182836,30,1/6/89,England,193,Normal,79,Newcastle United,https://sofifa.com/player/182836/andy-carroll/20/159586,75,6500000,39000,Medium/High,RES,7,77,61,67,44,"Power Free-Kick, Long Passer (CPU AI Only)",64,67,57,73,82,91,76,46,43
A. Casar,Aljaž Casar,251662,18,9/17/00,Slovenia,190,Lean,75,SCR Altach,https://sofifa.com/player/251662/aljaz-casar/20/159586,57,210000,1000,Medium/Medium,SUB,23,43,56,57,47,Not Provided,60,55,58,57,55,64,41,48,41
A. Castro,Alex Castro,220805,25,3/8/94,Colombia,170,Lean,68,Deportes Tolima,https://sofifa.com/player/220805/alex-castro/20/159586,67,925000,2000,Medium/Medium,LM,23,58,67,68,34,Crowd Favourite,67,67,70,64,62,41,56,32,31
A. Castro,Alexis Castro,228179,24,10/18/94,Argentina,183,Normal,71,Defensa y Justicia,https://sofifa.com/player/228179/alexis-castro/20/159586,71,3200000,8000,Medium/Low,LCM,11,67,70,72,56,"Beat Offside Trap, Early Crosser",70,72,71,72,73,71,69,58,56
A. Castro-Montes,Alessio Castro-Montes,233965,22,5/17/97,Belgium,175,Lean,67,KAA Gent,https://sofifa.com/player/233965/alessio-castro-montes/20/159586,70,2200000,9000,High/Medium,SUB,14,62,69,69,65,Early Crosser,71,67,68,70,75,56,63,68,68
A. Catalán,Andrés Catalán,248127,18,8/20/00,Mexico,166,Normal,64,Monarcas Morelia,https://sofifa.com/player/248127/andres-catalan/20/159586,58,250000,1000,Medium/Medium,RES,22,29,38,44,60,Not Provided,50,41,34,40,42,50,28,66,64
A. Catic,Adnan Catic,252131,19,1/15/00,Sweden,187,Normal,78,AFC Eskilstuna,https://sofifa.com/player/252131/adnan-catic/20/159586,52,80000,1000,Medium/Medium,SUB,19,23,32,32,51,Not Provided,39,26,31,34,43,63,18,57,54
A. Cavagnera,Alexandro Cavagnera,239515,20,12/1/98,Belgium,185,Normal,75,Milan,https://sofifa.com/player/239515/alexandro-cavagnera/20/159586,58,260000,4000,Medium/Medium,RES,44,34,57,62,54,Not Provided,62,62,63,63,48,64,37,56,55
A. Ceesay,Assan Ceesay,220306,25,3/17/94,Gambia,189,Normal,74,FC Zürich,https://sofifa.com/player/220306/assan-ceesay/20/159586,59,200000,3000,High/Medium,ST,9,56,47,53,33,Early Crosser,46,50,42,51,61,76,51,30,21
A. Celli,Alessandro Celli,232272,21,7/7/97,Italy,194,Lean,79,Pescara,https://sofifa.com/player/232272/alessandro-celli/20/159586,60,280000,1000,Medium/Medium,RES,33,26,33,40,59,Not Provided,42,29,29,49,36,67,16,63,62
A. Cerci,Alessio Cerci,178393,31,7/23/87,Italy,180,Normal,78,US Salernitana 1919,https://sofifa.com/player/178393/alessio-cerci/20/159586,72,2700000,4000,Medium/Low,SUB,77,69,72,75,36,"Power Free-Kick, Argues with Officials",73,75,67,78,72,73,77,31,24
A. Cermák,Aleš Cermák,244789,24,10/1/94,Czech Republic,180,Lean,75,Viktoria Plzen,https://sofifa.com/player/244789/ales-cermak/20/159586,72,4200000,1000,Medium/Medium,SUB,25,63,72,72,43,"Beat Offside Trap, Selfish, Finesse Shot",74,71,72,73,67,64,62,55,51
A. Cerri,Alberto Cerri,213829,23,4/16/96,Italy,194,Normal,91,Cagliari,https://sofifa.com/player/213829/alberto-cerri/20/159586,72,4600000,21000,Medium/Medium,SUB,9,72,54,68,39,Long Passer (CPU AI Only),65,68,45,73,75,94,68,34,30
A. Cervantes,Alan Cervantes,239617,21,1/17/98,Mexico,180,Lean,68,Guadalajara,https://sofifa.com/player/239617/alan-cervantes/20/159586,61,425000,4000,Medium/High,SUB,31,48,61,58,59,Not Provided,69,56,65,60,57,55,50,63,61
A. Chahechouhe,Aatif Chahechouhe,187939,32,7/2/86,Morocco,176,Normal,68,Antalyaspor,https://sofifa.com/player/187939/aatif-chahechouhe/20/159586,74,4400000,16000,Medium/Medium,LM,92,72,69,76,32,"Selfish, Argues with Officials, Crowd Favourite",75,77,68,77,76,62,70,27,24
A. Chakraborty,Abhimoda Chakraborty,251722,33,10/27/85,India,189,Lean,79,India,https://sofifa.com/player/251722/abhimoda-chakraborty/20/159586,62,0,0,Medium/High,,null,44,46,41,61,"Power Free-Kick, Injury Prone",52,38,47,50,61,84,42,58,60
A. Chalá,Anibal Chalá,236943,23,5/9/96,Ecuador,178,Lean,71,Deportivo Toluca,https://sofifa.com/player/236943/anibal-chala/20/159586,66,800000,5000,High/Medium,LWB,6,46,54,57,63,Early Crosser,54,54,51,55,61,59,42,65,62
A. Chapman,Aaron Chapman,215408,29,5/29/90,England,203,Normal,92,Peterborough United,https://sofifa.com/player/215408/aaron-chapman/20/159586,63,300000,2000,Medium/Medium,SUB,26,0,0,0,0,Not Provided,18,12,16,17,43,61,9,12,13
